name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
Radhe,"13 May, 2021",['Hindi'],2 hrs 15 mins, Action Thriller Crime,Prabhudeva,"['Salman Khan', 'Disha Patani', 'Randeep Hooda']",3,3,"This is definitely not the most wanted Bhai film, but the die-hard Salman fans might just find a reason to cheer him on, yet again.","https://static.toiimg.com/thumb/msid-80380429,width-219,height-317,imgsize-37612/80380429.jpg"
99 Songs,"16 Apr, 2021","['Hindi', 'Tamil', 'Telugu']",2 hrs 13 mins, Romance Music,Vishwesh Krishnamoorthy,"['Ehan Bhat', 'Edilsy Vargas', 'Lisa Ray']",3,3.3,"A budding musician takes up the challenge to compose one song that can change the world, to unite with his girlfriend. ","https://static.toiimg.com/thumb/msid-68883903,width-219,height-317,imgsize-68551/68883903.jpg"
Bansuri: The Flute,"16 Apr, 2021",['Hindi'],1 hr 48 mins,Drama,Hari Viswanathan,"['Rituparna Sengupta', 'Anurag Kashyap', 'Upendra Limaye']",2.5,2.6,"In a nutshell, ‘Bansuri’ has its heart at the right place, however, it fails to leave a lasting impact on the audience. Truth be told, even the sincere performances couldn’t cause us to hear the strains of the flute till far.","https://static.toiimg.com/thumb/msid-75670489,width-219,height-317,imgsize-82752/75670489.jpg"
The Big Bull,"08 Apr, 2021",['Hindi'],2 hrs 35 mins, Crime Drama,Kookie V. Gulati,"['Abhishek Bachchan', 'Ileana D Cruz', 'Nikita Dutta']",3,3.4,"Overall, ‘The Big Bull’ is a decent attempt to tell a dramatic story of one of India’s biggest financial scams, orchestrated by a man, who seemed more like a common man than a con man. Watch it if you’re an Abhishek Bachchan fan, but don’t let the stock of your expectations rise too high.","https://static.toiimg.com/thumb/msid-71147012,width-219,height-317,imgsize-35530/71147012.jpg"
Koi Jaane Na,"02 Apr, 2021",['Hindi'],2 hrs 9 mins,Thriller,Amin Hajee,"['Amyra Dastur', 'Kunal Kapoor', 'Elli Avrram']",2,2.1,The most convincing part about this one is its title ‘Koi Jaane Na’ that perfectly sums up the feeling after watching it. ,"https://static.toiimg.com/thumb/msid-67540004,width-219,height-317,imgsize-66995/67540004.jpg"
Flight,"02 Apr, 2021",['Hindi'],2 hrs 10 mins, Action Thriller,"Suraj Joshi, Producer","['Mohit Chadda, Producer', 'Pavan Malhotra', 'Zakir Hussain']",2.5,2.4,"‘Flight’ circles around the systematic abuse of money and power the aviation-manufacturing industry is allegedly plagued with but from the way this tale’s shaped up to the way the makers have executed it on screen, we would say it shouldn’t have left the runway in the first place.","https://static.toiimg.com/thumb/msid-81274884,width-219,height-317,imgsize-22394/81274884.jpg"
Saina,"26 Mar, 2021",['Hindi'],2 hrs 15 mins, Biography Sport Drama,Amole Gupte,"['Parineeti Chopra', 'Paresh Rawal', 'Manav Kaul']",3.5,3.4,"The film follows the career highs and lows of the former world no 1, India’s ace shuttler, Saina Nehwal. It also pays tribute to the people who immensely contribute to her resilience and unbreakable spirit.","https://static.toiimg.com/thumb/msid-61979879,width-219,height-317,imgsize-68162/61979879.jpg"
Sandeep Aur Pinky Faraar,"19 Mar, 2021",['Hindi'],2 hrs 6 mins, Comedy Drama,Dibakar Banerjee,"['Parineeti Chopra', 'Arjun Kapoor', 'Archana Puran Singh']",2.5,1.9,"‘Sandeep and Pinky Faraar’ is one of those neo-noir films that set out with a promise to engage, entertain and educate by slowly unraveling its layered subtext. But with its preposterous execution and frustratingly slow pace, it’s the audience who might want to escape, much before Sandeep and Pinky.","https://static.toiimg.com/thumb/msid-61934577,width-219,height-317,imgsize-27460/61934577.jpg"
Mumbai Saga,"19 Mar, 2021",['Hindi'],2 hrs 8 mins, Action Crime,Sanjay Gupta,"['John Abraham', 'Emraan Hashmi', 'Suniel Shetty']",3,3.3,,"https://static.toiimg.com/thumb/msid-69786862,width-219,height-317,imgsize-22784/69786862.jpg"
Time To Dance,"12 Mar, 2021",['Hindi'],2 hrs 2 mins, Musical Romance,Stanley D' Costa,"['Sooraj Pancholi', 'Isabelle Kaif', 'Waluscha De Sousa']",2.5,2.3,"For its 113 minutes’ runtime, ' Time To Dance' offers a bucketful of superb dance performances to keep you engaged throughout. ","https://static.toiimg.com/thumb/msid-62816067,width-219,height-317,imgsize-23131/62816067.jpg"
